year,zone,subprefecture_name_original,subprefecture_name,district_name_original,district_name,population
2016,West,Pinheiros,PINHEIROS,Jardim Paulista,Jardim_Paulista,85958
2016,West,Lapa,LAPA,Lapa,Lapa,71407
2016,West,Butantã,BUTANTA,Morumbi,Morumbi,45923
2016,West,Lapa,LAPA,Perdizes,Perdizes,108013
2016,West,Pinheiros,PINHEIROS,Pinheiros,Pinheiros,65693
2016,West,Butantã,BUTANTA,Raposo Tavares,Raposo_Tavares,109679
2016,West,Butantã,BUTANTA,Rio Pequeno,Rio_Pequeno,126399
2016,West,Lapa,LAPA,Vila Leopoldina,Vila_Leopoldina,43639
2016,West,Butantã,BUTANTA,Vila Sônia,Vila_Sonia,117065
2016,South_1,Ipiranga,IPIRANGA,Cursino,Cursino,107408
2016,South_1,Ipiranga,IPIRANGA,Ipiranga,Ipiranga,112628
2016,South_1,Jabaquara,JABAQUARA,Jabaquara,Jabaquara,221557
2016,South_1,Vila Mariana,VILA_MARIANA,Moema,Moema,83437
2016,South_1,Ipiranga,IPIRANGA,Sacomã,Sacoma,256382
2016,South_1,Vila Mariana,VILA_MARIANA,Saúde,Saude,131015
2016,South_1,Vila Mariana,VILA_MARIANA,Vila Mariana,Vila_Mariana,130118
2016,South_2,Santo Amaro,SANTO_AMARO,Campo Belo,Campo_Belo,69350
2016,South_2,Santo Amaro,SANTO_AMARO,Campo Grande,Campo_Grande,109519
2016,South_2,Campo Limpo,CAMPO_LIMPO,Campo Limpo,Campo_Limpo,224704
2016,South_2,Campo Limpo,CAMPO_LIMPO,Capão Redondo,Capao_Redondo,271916
2016,South_2,Cidade Ademar,CIDADE_ADEMAR,Cidade Ademar,Cidade_Ademar,260217
2016,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Cidade Dutra,Cidade_Dutra,191306
2016,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Grajaú,Grajau,374432
2016,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim Ângela,Jardim_Angela,304837
2016,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim São Luís,Jardim_Sao_Luis,265296
2016,South_2,Parelheiros,PARELHEIROS,Marsilac,Marsilac,9893
2016,South_2,Parelheiros,PARELHEIROS,Parelheiros,Parelheiros,142591
2016,South_2,Cidade Ademar,CIDADE_ADEMAR,Pedreira,Pedreira,154672
2016,South_2,Santo Amaro,SANTO_AMARO,Santo Amaro,Santo_Amaro,79244
2016,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Socorro,Socorro,38470
2016,South_2,Campo Limpo,CAMPO_LIMPO,Vila Andrade,Vila_Andrade,147647
2017,Downtown,Sé,SE,Bela Vista,Bela_Vista,64317
2017,Downtown,Sé,SE,Bom Retiro,Bom_Retiro,33809
2017,Downtown,Sé,SE,Cambuci,Cambuci,41907
2017,Downtown,Sé,SE,Consolação,Consolacao,55669
2017,Downtown,Sé,SE,Liberdade,Liberdade,68069
2017,Downtown,Sé,SE,República,Republica,59671
2017,Downtown,Sé,SE,Santa Cecília,Santa_Cecilia,82652
2017,Downtown,Sé,SE,Sé,Se,24127
2017,East_1,Mooca,MOOCA,Água Rasa,Agua_Rasa,86841
2017,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Aricanduva,Aricanduva,90774
2017,East_1,Penha,PENHA,Artur Alvim,Artur_Alvim,100951
2017,East_1,Mooca,MOOCA,Belém,Belem,51391
2017,East_1,Mooca,MOOCA,Brás,Bras,34715
2017,East_1,Penha,PENHA,Cangaíba,Cangaiba,140476
2017,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Carrão,Carrao,85220
2017,East_1,Mooca,MOOCA,Moóca,Mooca,79902
2017,East_1,Mooca,MOOCA,Pari,Pari,17381
2017,East_1,Penha,PENHA,Penha,Penha,132028
2017,East_1,Vila Prudente,VILA_PRUDENTE,São Lucas,Sao_Lucas,141690
2017,East_1,Sapopemba,SAPOPEMBA,Sapopemba,Sapopemba,277313
2017,East_1,Mooca,MOOCA,Tatuapé,Tatuape,96931
2017,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Vila Formosa,Vila_Formosa,94606
2017,East_1,Penha,PENHA,Vila Matilde,Vila_Matilde,105604
2017,East_1,Vila Prudente,VILA_PRUDENTE,Vila Prudente,Vila_Prudente,106275
2017,East_2,Itaquera,ITAQUERA,Cidade Líder,Cidade_Lider,133431
2017,East_2,Cidade Tiradentes,CIDADE_TIRADENTES,Cidade Tiradentes,Cidade_Tiradentes,202904
2017,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ermelino Matarazzo,Ermelino_Matarazzo,113791
2017,East_2,Guaianases,GUAIANASES,Guaianases,Guaianases,107936
2017,East_2,São Mateus,SAO_MATEUS,Iguatemi,Iguatemi,140594
2017,East_2,Itaim Paulista,ITAIM_PAULISTA,Itaim Paulista,Itaim_Paulista,214976
2017,East_2,Itaquera,ITAQUERA,Itaquera,Itaquera,210273
2017,East_2,São Miguel,SAO_MIGUEL,Jardim Helena,Jardim_Helena,132656
2017,East_2,Itaquera,ITAQUERA,José Bonifácio,Jose_Bonifacio,127305
2017,East_2,Guaianases,GUAIANASES,Lajeado,Lajeado,165895
2017,East_2,Itaquera,ITAQUERA,Parque do Carmo,Parque_do_Carmo,72686
2017,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ponte Rasa,Ponte_Rasa,92823
2017,East_2,São Mateus,SAO_MATEUS,São Mateus,Sao_Mateus,156707
2017,East_2,São Miguel,SAO_MIGUEL,São Miguel,Sao_Miguel,87186
2017,East_2,São Mateus,SAO_MATEUS,São Rafael,Sao_Rafael,147164
2017,East_2,Itaim Paulista,ITAIM_PAULISTA,Vila Curuçá,Vila_Curuca,145415
2017,East_2,São Miguel,SAO_MIGUEL,Vila Jacuí,Vila_Jacui,138587
2017,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Jaçanã,Jacana,90965
2017,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Mandaqui,Mandaqui,106865
2017,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Santana,Santana,118749
2017,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Tremembé,Tremembe,198113
2017,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Tucuruvi,Tucuruvi,100456
2017,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Guilherme,Vila_Guilherme,54007
2017,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Maria,Vila_Maria,111163
2017,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Medeiros,Vila_Medeiros,122549
2017,North_2,Perus,PERUS,Anhanguera,Anhanguera,71363
2017,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Brasilândia,Brasilandia,254644
2017,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Cachoeirinha,Cachoeirinha,144856
2017,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Casa Verde,Casa_Verde,83880
2017,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Freguesia do Ó,Freguesia_do_O,141481
2017,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Jaraguá,Jaragua,201299
2017,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Limão,Limao,82686
2017,North_2,Perus,PERUS,Perus,Perus,85063
2017,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Pirituba,Pirituba,176746
2017,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,São Domingos,Sao_Domingos,88160
2017,West,,NAO_IDENTIFICADO,OESTE,OESTE,1074512
2017,West,Pinheiros,PINHEIROS,Alto de Pinheiros,Alto_de_Pinheiros,40652
2017,West,Lapa,LAPA,Barra Funda,Barra_Funda,25404
2017,West,Butantã,BUTANTA,Butantã,Butanta,53525
2017,West,Pinheiros,PINHEIROS,Itaim Bibi,Itaim_Bibi,98328
