cd_identif,cd_identi0,cd_distrit,nm_distrit,sg_distrit,tx_escala,sg_fonte_o,dt_criacao,dt_atualiz,cd_usuario,cd_tipo_di,qt_area_qu,qt_area_me,cd_regiao_,nm_regiao_,cd_regiao0,nm_regiao0,district_name,region_name1,region_name2,subprefecture_name,longitude_district,latitude_district,geometry,longitude_district_centroid,latitude_district_centroid,cd_subpref,qt_area_qu_subprefecture,qt_area_me_subprefecture,geometry_subprefecture,longitude_subpref,latitude_subpref,longitude_subpref_centroid,latitude_subpref_centroid
8583440.0,21.0,94,VILA SONIA,VSO,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.991,9991360.86,4,Oeste,6,Oeste,Vila_Sonia,West,West,BUTANTA,-46.74010773025733,-23.599752612187583,POINT (-46.73923020640376 -23.599435854264392),-46.73923020640376,-23.599435854264392,10,56.0,56305155.27,POINT (-46.74328724963944 -23.58571521302107),-46.744877401572936,-23.583828369118887,-46.74328724963944,-23.58571521302107
8583421.0,20.0,77,SAUDE,SAU,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.307,9307107.05,2,Sul,7,Sul 1,Saude,South,South_1,VILA_MARIANA,-46.64325372263231,-23.615489912338465,POINT (-46.641078001249944 -23.614615707593174),-46.641078001249944,-23.614615707593174,12,27.0,26984413.29,POINT (-46.6462223558506 -23.599433231366177),-46.64878336225142,-23.599882074761005,-46.6462223558506,-23.599433231366177
8583400.0,11.0,57,PARQUE DO CARMO,PQC,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,15.476,15476003.74,2,Leste,3,Leste 2,Parque_do_Carmo,East,East_2,ITAQUERA,-46.46520268016562,-23.574133069311333,POINT (-46.46297776352211 -23.57597567871357),-46.46297776352211,-23.57597567871357,27,55.0,55129133.36,POINT (-46.458407853035986 -23.55987789685632),-46.470887357074226,-23.5555652619892,-46.458407853035986,-23.55987789685632
8583478.0,5.0,39,JACANA,JAC,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,7.465,7465209.44,3,Norte,5,Norte 1,Jacana,North,North_1,JACANA_TREMEMBE,-46.57688978960382,-23.457872166490528,POINT (-46.57493804701092 -23.46214209199205),-46.57493804701092,-23.46214209199205,06,65.0,65115661.41,POINT (-46.58757214442981 -23.422589384022174),-46.594121106856946,-23.42162921623134,-46.58757214442981,-23.422589384022174
8583489.0,3.0,50,LIMAO,LIM,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,6.457,6456916.46,3,Norte,4,Norte 2,Limao,North,Norte 2,CASA_VERDE_LIMAO_CACHOEIRINHA,-46.6749565931547,-23.497346150711085,POINT (-46.67603591652731 -23.497512235014888),-46.67603591652731,-23.497512235014888,04,27.0,27232342.53,POINT (-46.6641685329903 -23.476925833180523),-46.65935694062715,-23.46604664186527,-46.6641685329903,-23.476925833180523
8583475.0,10.0,36,ITAIM PAULISTA,IPA,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,12.145,12144508.52,2,Leste,3,Leste 2,Itaim_Paulista,East,East_2,ITAIM_PAULISTA,-46.385481733824015,-23.503536537052664,POINT (-46.38635003746938 -23.5033848670296),-46.38635003746938,-23.5033848670296,24,22.0,21603817.3,POINT (-46.39918101971036 -23.506280162925176),-46.397544637680454,-23.50538060366262,-46.39918101971036,-23.506280162925176
8583401.0,26.0,58,PEDREIRA,PDR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,18.503,18502580.53,5,Sul,8,Sul 2,Pedreira,South,South_2,CIDADE_ADEMAR,-46.64352990948733,-23.707898669495897,POINT (-46.64986946635703 -23.706939859031344),-46.64986946635703,-23.706939859031344,16,31.0,30810241.77,POINT (-46.652668597720755 -23.693684297768364),-46.65207944258547,-23.687441128575436,-46.652668597720755,-23.693684297768364
8583394.0,4.0,51,MANDAQUI,MAN,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,13.249,13249456.11,3,Norte,5,Norte 1,Mandaqui,North,North_1,SANTANA_TUCURUVI,-46.641309816481325,-23.458073453726605,POINT (-46.640850073608256 -23.459466292117977),-46.640850073608256,-23.459466292117977,05,36.0,35782518.58,POINT (-46.62783412197503 -23.47858463397127),-46.61764509907789,-23.473488777431104,-46.62783412197503,-23.47858463397127
8583441.0,15.0,1,AGUA RASA,ARA,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,7.177,7177175.74,2,Leste,2,Leste 1,Agua_Rasa,East,East_1,MOOCA,-46.57372980260605,-23.565249759131564,POINT (-46.571880822927476 -23.566838476266923),-46.571880822927476,-23.566838476266923,25,36.0,36046910.58,POINT (-46.58813988740095 -23.548744806248493),-46.58976837361642,-23.550486639946364,-46.58813988740095,-23.548744806248493
8583415.0,1.0,95,SAO DOMINGOS,SDO,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.693,9693355.95,3,Norte,4,Norte 2,Sao_Domingos,North,Norte 2,PIRITUBA_JARAGUA,-46.745908488940024,-23.493692851919178,POINT (-46.74724520781714 -23.49346788857025),-46.74724520781714,-23.49346788857025,02,55.0,55021021.42,POINT (-46.73683615370421 -23.46516833709622),-46.74375224607306,-23.465149668497528,-46.73683615370421,-23.46516833709622
